question,answer1,s_question,answer2
"Do you believe that current measures for income redistribution are effective in addressing income inequality?  Satisfied  Not satisfied  Not sure""",,Do you believe that current measures for income redistribution are effective in addressing income inequality?  Not satisfied  Satisfied  Not sure,
"""Are you satisfied with the accessibility and affordability of healthcare services in Chicago?  Satisfied  Not satisfied  Not sure""",,"""Are you satisfied with the accessibility and affordability of healthcare services in Chicago?  Not Satisfied  satisfied  Not sure""",
"""Do you believe that educational opportunities are equally accessible to individuals from different socioeconomic backgrounds?  Yes, completely  Neutral  No, not really""",,"""Do you believe that educational opportunities are equally accessible to individuals from different socioeconomic backgrounds?  Neutral  Yes, completely  No, not really""",
"""Are you satisfied with the opportunities for upward mobility and career advancement in your country?  Satisfied  Neutral  Dissatisfied",,"""Are you satisfied with the opportunities for upward mobility and career advancement in your country?  Dissatisfied  Neutral  Satisfied",
"""In your opinion, does the justice system provide fair outcomes regardless of an individual's socioeconomic status?  Often  Neutral  Never",,"""In your opinion, does the justice system provide fair outcomes regardless of an individual's socioeconomic status?  Never  Often  Neutral",
"""Do you believe that social welfare programs effectively reduce poverty and support vulnerable populations?  Completely Effective  Neutral  Completely Ineffective",,Do you believe that social welfare programs effectively reduce poverty and support vulnerable populations?  Completely Ineffective  Neutral  Completely Effective,
"""Are you satisfied with the environmental regulations and their impact on addressing climate change?  Satisfied  Neutral  Dissatisfied",,"""Are you satisfied with the environmental regulations and their impact on addressing climate change?  Satisfied  Dissatisfied   Neutral",
"""Do you think there is enough support for small businesses and entrepreneurs to thrive in your community?  Agree  Neutral  Disagree",,"""Do you think there is enough support for small businesses and entrepreneurs to thrive in your community?  Disagree  Neutral  Agree",
"""How do you perceive the level of economic inequality in your country?  Very High  High  Neutral  Low  Very Low""",,"""How do you perceive the level of economic inequality in your country?  Very Low  Low  Neutral  High  Very High""",
"""To what extent do you feel that economic factors impact your daily life?  Very Strongly  Strongly  Neutral  Somewhat  Not at All""",,"""To what extent do you feel that economic factors impact your daily life?  Not at All  Strongly  Very Strongly  Neutral  Somewhat""",
"""Do you feel that your education level has positively impacted your career opportunities?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you feel that your education level has positively impacted your career opportunities?  Strongly Agree  Agree  Strongly Disagree  Neutral  Disagree""",
"""In your opinion, is the cost of living in Chicago reasonable considering the average income?  Yes, somewhat reasonable  Neutral  No, somewhat unreasonable",,"
""In your opinion, is the cost of living in Chicago reasonable considering the average income?  Neutral  Yes, somewhat reasonable  No, somewhat unreasonable",
"""Do you believe that the government adequately supports entrepreneurship and innovation?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that the government adequately supports entrepreneurship and innovation?  Strongly Agree  Neutral  Strongly Disagree  Disagree  Agree""",
"""How satisfied are you with the overall economic opportunities in your community?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the overall economic opportunities in your community?  Dissatisfied  Neutral  Very Satisfied  Very Dissatisfied  Satisfied",
"""Do you believe that access to quality healthcare should be considered a basic human right? Strongly Agree Agree  Neutral  Disagree  Strongly Disagree""",,"""Do you believe that access to quality healthcare should be considered a basic human right?  Strongly Agree  Disagree  Neutral  Strongly Disagree  Agree""",
"""How concerned are you about the rising cost of education and its impact on future generations?   Concerned  Neutral  Not very Concerned """,,"""How concerned are you about the rising cost of education and its impact on future generations?  Neutral  Not very Concerned  Concerned""",
"""In your opinion, does the current job market offer enough opportunities for meaningful employment?  Yes, somewhat  Neutral  No, very few""",,"""In your opinion, does the current job market offer enough opportunities for meaningful employment?  No, very few  Neutral  Yes, somewhat""",
"""How do you perceive the impact of automation and technology on job security in the future?  Positive  Neutral  Negative""",,"""How do you perceive the impact of automation and technology on job security in the future?  Neutral  Negative  Positive""",
"""Do you believe that there should be stricter regulations on income inequality within corporations?  Agree  Neutral  Disagree """,,"""Do you believe that there should be stricter regulations on income inequality within corporations?  Disagree  Agree  Neutral""",
"""To what extent do you think housing affordability affects social mobility in your country?  Significantly  Moderately  Neutral  Slightly  Not at all""",,"""To what extent do you think housing affordability affects social mobility in your country?  Slightly  Moderately  Not at all  Neutral  Significantly""",
"""How satisfied are you with the financial literacy education provided in schools or communities?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",,"""How satisfied are you with the financial literacy education provided in schools or communities?  Dissatisfied  Neutral  Very Satisfied  Very Dissatisfied  Satisfied""",
"""Do you believe that government subsidies for essential services like food and utilities are effective in reducing poverty?  Yes, very effective  Neutral  No, very ineffective""",,"""Do you believe that government subsidies for essential services like food and utilities are effective in reducing poverty?  Neutral  No, very ineffective  Yes, very effective""",
"""How much do you think cultural and social factors influence economic success in your society?  Very Much  Much  Neutral  Little  Not at all""",,"""How much do you think cultural and social factors influence economic success in your society?  Much  Very Much  Neutral  Not at all  Little""",
