question,answer1,s_question,answer2
How concerned are you about the rising cost of living in Chicago area? A. Extremely Concerned B. Moderately Concerned C. Somewhat Concerned D. Slightly Concerned E. Not Concerned at All,A,How concerned are you about the rising cost of living in the urban area?  A. Extremely Concerned B. Moderately Concerned C. Somewhat Concerned D. Slightly Concerned E. Not Concerned at All,A
To what extent do you feel financially secure in a Software job? A. Very Insecure B. Insecure C. Neutral D. Secure E. Very Secure,D,To what degree do you perceive financial security in a software job? A. Very Insecure B. Insecure C. Neutral D. Secure E. Very Secure,D
 How satisfied are you with the current state of public transportation in Chicago city? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D,How satisfied are you with the current state of public transportation in a major city? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D
Do you believe that access to affordable healthcare is a fundamental human right? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E,Do you think affordable healthcare should be considered a fundamental human right? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How optimistic are you about the job market prospects for the next year? A. Very Pessimistic B. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D,How hopeful are you regarding the job market prospects for the upcoming year? A. Very Pessimistic B. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D
How concerned are you about the quality of education in our community? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,How worried are you about the standard of education in our community? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
To what extent do you believe affordable housing is accessible in Chicago city? A. Very Inaccessible B. Inaccessible C. Neutral D. Accessible E. Very Accessible,B,To what extent do you believe affordable housing is accessible in our community? A. Very Inaccessible B. Inaccessible C. Neutral D. Accessible E. Very Accessible,C
Do you believe that the minimum wage should be increased to meet the cost of living? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E,Should the minimum wage be raised to align with the cost of living? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How concerned are you about income inequality in society? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,How concerned are you about income inequality in our community? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
To what extent do you trust the government to address economic issues effectively? A. No Trust at All B. Little Trust C. Neutral D. Trusting E. Complete Trust,D,How much confidence do you have in the government's ability to address economic issues effectively? A. No Trust at All B. Little Trust C. Neutral D. Trusting E. Complete Trust,B
How satisfied are you with the affordability of childcare services in Chicago area? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D,How satisfied are individuals with the affordability of childcare services in our local area? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D
Do you believe that wealth should be more evenly distributed across society? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D,Do you believe that the distribution of wealth should be more equitable across society? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How optimistic are you about the overall economic outlook for the country? A. Very PessimisticB. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D,How optimistic are you about the overall economic outlook for our nation? A. Very Pessimistic B. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D
How confident are you in the effectiveness of government assistance programs for low-income families? A. Very Ineffective B. Ineffective C. Neutral D. Effective E. Very Effective,D,How confident are you in the effectiveness of support programs for low-income families? A. Very Ineffective B. Ineffective C. Neutral D. Effective E. Very Effective,D
Is she inclined to support legislation aimed at protecting endangered species and wildlife habitats? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A,Is he inclined to support legislation aimed at protecting endangered species and wildlife habitats? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A
Do you think there should be stricter regulations on corporate taxation to ensure fair contributions to society? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D,Do you think there should be stricter regulations on corporate taxation to ensure fair contributions to the community? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D
How concerned are you about the impact of climate change on the economy? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,How worried are you about the effect of climate change on the economy? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
To what extent do you believe that the current economic system favors the wealthy over the middle and lower classes? A. Strongly Favors the Wealthy B. Favors the Wealthy C. Neutral D. Favors the Middle Class E. Favors the Lower Class,A,To what extent do you believe that the current economic system favors the wealthy over the middle and lower classes?A. Strongly Favors the Wealthy B. Favors the Wealthy C. Neutral D. Favors the Middle Class E. Favors the Lower Class,A
Do you believe that there should be more government investment in renewable energy sources? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D,Should there be increased government investment in renewable energy sources? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How optimistic are you about the ability of the economy to recover from the impacts of the COVID-19 pandemic? A. Very Pessimistic B. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D,How optimistic do you feel about the economy's potential to rebound from the impacts of the COVID-19 pandemic? A. Very Pessimistic B. Pessimistic C. Neutral D. Optimistic E. Very Optimistic,D
How concerned are you about job security in this current employment? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,What is your level of concern regarding job security in your current employment situation? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
Do you believe that the education system adequately addresses the needs of students with disabilities? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D,Does the education system adequately address the needs of students with disabilities? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
Would he prioritize investments in renewable energy sources for a sustainable future? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A,Would she prioritize investments in renewable energy sources for a sustainable future? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A
To what extent do you think the government should prioritize funding for scientific research and innovation? A. Not a Priority B. Low Priority C. Neutral D. High Priority E. Top Priority,E,How much emphasis do you believe the government should place on funding scientific research and innovation? A. Not a Priority B. Low Priority C. Neutral D. High Priority E. Top Priority,E
How confident are you in the fairness of the criminal justice system in the United States? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,C,How confident are you in the fairness of the criminal justice system nationally? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,C
Do you believe that the media provides unbiased coverage of current events? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,B,Do you think that media offers impartial coverage of current events? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,C
 How concerned are you about the impact of automation and artificial intelligence on job displacement? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,How worried are you about the effects of automation and artificial intelligence on job displacement? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
Would he encourage initiatives to address climate change by reducing carbon emissions? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A,Would she encourage initiatives to address climate change by reducing carbon emissions? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A
How satisfied are you with the accessibility of public parks and recreational facilities in your neighborhood? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D,How satisfied are you with the accessibility of public parks and recreational facilities in your area? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D
Do you think there should be stricter regulations on the use of single-use plastics to reduce environmental pollution? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E,Should there be stricter regulations on the use of single-use plastics to reduce environmental pollution? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
Do you believe that renewable energy sources should be prioritized over fossil fuels for electricity generation? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E,Do you think renewable energy sources should be prioritized over fossil fuels for electricity generation? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How confident are you in the fairness of the electoral process in the United States? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,C,How confident are you in the fairness of the electoral process nationally? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,D
To what extent do you think companies should be held accountable for their environmental impact? A. Not at All B. Minimally C. Neutral D. Moderately E. Completely,E,To what degree do you believe companies should be held responsible for their environmental impact? A. Not at All B. Minimally C. Neutral D. Moderately E. Completely,E
How concerned are you about the effects of climate change on the local environment? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B,How concerned are you about the effects of climate change on the immediate surroundings? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
Do you believe that the government should provide universal basic income to all citizens? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,C,Do you believe that the government should provide universal basic income to all individuals? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D
How satisfied are you with the quality of internet connectivity in Chicago area? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D,How satisfied are you with the quality of internet connectivity in the urban area? A. Extremely Dissatisfied B. Dissatisfied C. Neutral D. Satisfied E. Extremely Satisfied,D
Is she inclined to support legislation aimed at protecting endangered species and wildlife habitats? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A,Is he inclined to support legislation aimed at protecting endangered species and wildlife habitats? A. Strongly Support B. Support C. Neutral D. Oppose E. Strongly Oppose,A
How confident are you in the effectiveness of local law enforcement agencies in ensuring public safety? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,D,How confident are you in the effectiveness of law enforcement agencies in ensuring public safety locally? A. No Confidence B. Low Confidence C. Neutral D. High Confidence E. Complete Confidence,D
Do you think that access to quality education should be free for all citizens? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E,Do you believe that access to quality education should be free for all individuals? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
Do you believe that social media platforms are effectively regulating harmful content and misinformation? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,B,Do you think social media platforms are effectively regulating harmful content and misinformation? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,B
To what extent do you think remote work will become the norm in your industry in the coming years? A. Not at All B. Unlikely C. Neutral D. Likely E. Very Likely,E,To what extent do you anticipate remote work becoming the norm in your industry in the coming years? A. Not at All B. Unlikely C. Neutral D. Likely E. Very Likely,E
Do you believe that governments should implement stricter regulations on data privacy and protection? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,D,Do you support the implementation of stricter regulations on data privacy and protection by governments? A. Strongly Disagree B. Disagree C. Neither Agree nor Disagree D. Agree E. Strongly Agree,E
How concerned are you about the impact of fast fashion on the environment? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,A,How worried are you about the environmental impact of fast fashion? A. Extremely Concerned B. Concerned C. Neutral D. Unconcerned E. Not Concerned at All,B
