question,answer1,s_question,answer2
"Do you believe that current measures for income redistribution are effective in addressing income inequality?  Satisfied  Not satisfied  Not sure""",Not sure,Do you believe that current measures for income redistribution are effective in addressing income inequality?  Not satisfied  Satisfied  Not sure,Not satisfied
"""Are you satisfied with the accessibility and affordability of healthcare services in Chicago?  Satisfied  Not satisfied  Not sure""",Satisfied,"""Are you satisfied with the accessibility and affordability of healthcare services in Chicago?  Not Satisfied  satisfied  Not sure""",Not Satisfied
"""Do you believe that educational opportunities are equally accessible to individuals from different socioeconomic backgrounds?  Yes, completely  Neutral  No, not really""","No, not really","""Do you believe that educational opportunities are equally accessible to individuals from different socioeconomic backgrounds?  Neutral  Yes, completely  No, not really""","No, not really"
"""Are you satisfied with the opportunities for upward mobility and career advancement in your country?  Satisfied  Neutral  Dissatisfied",Satisfied,"""Are you satisfied with the opportunities for upward mobility and career advancement in your country?  Dissatisfied  Neutral  Satisfied",Satisfied
"""In your opinion, does the justice system provide fair outcomes regardless of an individual's socioeconomic status?  Often  Neutral  Never",Never,"""In your opinion, does the justice system provide fair outcomes regardless of an individual's socioeconomic status?  Never  Often  Neutral",Never
"""Do you believe that social welfare programs effectively reduce poverty and support vulnerable populations?  Completely Effective  Neutral  Completely Ineffective",Completely Effective,Do you believe that social welfare programs effectively reduce poverty and support vulnerable populations?  Completely Ineffective  Neutral  Completely Effective,Completely Effective
"""Are you satisfied with the environmental regulations and their impact on addressing climate change?  Satisfied  Neutral  Dissatisfied",Neutral,"""Are you satisfied with the environmental regulations and their impact on addressing climate change?  Satisfied  Dissatisfied   Neutral",Dissatisfied
"""Do you think there is enough support for small businesses and entrepreneurs to thrive in your community?  Agree  Neutral  Disagree",Neutral,"""Do you think there is enough support for small businesses and entrepreneurs to thrive in your community?  Disagree  Neutral  Agree",Neutral
"""How do you perceive the level of economic inequality in your country?  Very High  High  Neutral  Low  Very Low""",Very High,"""How do you perceive the level of economic inequality in your country?  Very Low  Low  Neutral  High  Very High""",High
"""To what extent do you feel that economic factors impact your daily life?  Very Strongly  Strongly  Neutral  Somewhat  Not at All""",Very Strongly,"""To what extent do you feel that economic factors impact your daily life?  Not at All  Strongly  Very Strongly  Neutral  Somewhat""",Somewhat
"""Do you feel that your education level has positively impacted your career opportunities?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",Strongly Agree,"""Do you feel that your education level has positively impacted your career opportunities?  Strongly Agree  Agree  Strongly Disagree  Neutral  Disagree""",Strongly Agree
"""In your opinion, is the cost of living in Chicago reasonable considering the average income?  Yes, somewhat reasonable  Neutral  No, somewhat unreasonable","Yes, somewhat reasonable","
""In your opinion, is the cost of living in Chicago reasonable considering the average income?  Neutral  Yes, somewhat reasonable  No, somewhat unreasonable","Yes, somewhat reasonable"
"""Do you believe that the government adequately supports entrepreneurship and innovation?  Strongly Agree  Agree  Neutral  Disagree  Strongly Disagree""",Disagree,"""Do you believe that the government adequately supports entrepreneurship and innovation?  Strongly Agree  Neutral  Strongly Disagree  Disagree  Agree""",Strongly Disagree
"""How satisfied are you with the overall economic opportunities in your community?  Very Satisfied  Satisfied  Neutral  Dissatisfied  Very Dissatisfied""",Satisfied,"""How satisfied are you with the overall economic opportunities in your community?  Dissatisfied  Neutral  Very Satisfied  Very Dissatisfied  Satisfied",Satisfied
"""Do you believe that access to quality healthcare should be considered a basic human right? Strongly Agree Agree  Neutral  Disagree  Strongly Disagree""",Strongly Agree,"""Do you believe that access to quality healthcare should be considered a basic human right?  Strongly Agree  Disagree  Neutral  Strongly Disagree  Agree""",Strongly Agree
"""How concerned are you about the rising cost of education and its impact on future generations?   Concerned  Neutral  Not very Concerned """,Concerned,"""How concerned are you about the rising cost of education and its impact on future generations?  Neutral  Not very Concerned  Concerned""",Concerned
